Account ID,Account Name,Instance ID,Instance Type,OS,Region,Running Hours,RI Hours,OD Hours, CPU Utilization ,Memory Utilization,Disk Utilization,Recommended Action,Recommended Instance Type 1, Recommended Instance Type 1 Estimated Savings , Recommended Instance Type 1 Projected CPU ,Recommended Instance Type 1 Projected Memory,Recommended Instance Type 1 Projected Disk,Recommended Instance Type 2, Recommended Instance Type 2 Estimated Savings , Recommended Instance Type 2 Projected CPU ,Recommended Instance Type 2 Projected Memory,Recommended Instance Type 2 Projected Disk,Recommended Instance Type 3, Recommended Instance Type 3 Estimated Savings , Recommended Instance Type 3 Projected CPU ,Recommended Instance Type 3 Projected Memory,Recommended Instance Type 3 Projected Disk
836000000000,WA Cost Labs,i-010005,t1.micro,Linux/UNIX,US East (N. Virginia),0.280278,0,0.280278, 0.85 ,,,Terminate,, $0.01 ,,,,,,,,,,,,,
836000000000,WA Cost Labs,i-010055,c4.2xlarge,Linux/UNIX,EU (Frankfurt),0.155833,0,0.155833, 24.56 ,,,Modify,c4.xlarge, $0.08 , 49.13 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-010089,r5.2xlarge,Windows (Amazon VPC),EU (Ireland),112,0,112, 35.00 ,,,Modify,r5.xlarge, $113.39 , 70.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-010119,c4.4xlarge,Linux/UNIX,EU (Ireland),0.073889,0,0.073889, 3.61 ,,,Modify,c4.2xlarge, $0.07 , 7.23 ,,,c4.xlarge, $0.11 , 14.46 ,,,c4.large, $0.13 , 28.92 ,,
836000000000,WA Cost Labs,i-010148,c4.4xlarge,Linux/UNIX,US East (N. Virginia),0.155,0,0.155, 15.57 ,,,Modify,c4.2xlarge, $0.13 , 31.15 ,,,c4.xlarge, $0.20 , 62.29 ,,,,,,,
836000000000,WA Cost Labs,i-010154,t1.micro,Linux/UNIX,US East (N. Virginia),0.280278,0,0.280278, 0.83 ,,,Terminate,, $0.01 ,,,,,,,,,,,,,
836000000000,WA Cost Labs,i-010264,m5.xlarge,Windows (Amazon VPC),US East (Ohio),330,0,330, 28.00 ,,,Modify,m5.large, $134.79 , 56.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-010320,t1.micro,Linux/UNIX,US East (N. Virginia),0.280278,0,0.280278, 0.98 ,,,Terminate,, $0.01 ,,,,,,,,,,,,,
836000000000,WA Cost Labs,i-010409,t2.large,Windows (Amazon VPC),US East (N. Virginia),329,0,329, 32.12 ,,,Modify,t2.medium, $40.31 , 32.12 ,,,t2.micro, $74.77 , 64.24 ,,,t2.small, $63.47 , 64.24 ,,
836000000000,WA Cost Labs,i-010436,t2.small,Linux/UNIX,US East (N. Virginia),19,0,19, 2.62 ,,,Modify,t2.micro, $0.47 , 2.62 ,,,t2.nano, $0.71 , 2.62 ,,,,,,,
