Account ID,Account Name,Instance ID,Instance name,Instance type,OS,Region,user: Tag1,user: Environment,aws:createdBy,Total running hours,RI Hours,On-Demand hours,Savings Plans hours, CPU Utilization ,Memory Utilization,Disk Utilization,EBS Read Throughput (Ops/s),EBS Write Throughput (Ops/s),EBS Read Bandwidth (KiB/s),EBS Write Bandwidth (KiB/s),Recommended Action,Recommended Instance Type 1, Recommended Instance Type 1 Estimated Savings , Recommended Instance Type 1 Projected CPU ,Recommended Instance Type 1 Projected Memory,Recommended Instance Type 1 Projected Disk,Recommended Instance Type 2, Recommended Instance Type 2 Estimated Savings , Recommended Instance Type 2 Projected CPU ,Recommended Instance Type 2 Projected Memory,Recommended Instance Type 2 Projected Disk,Recommended Instance Type 3, Recommended Instance Type 3 Estimated Savings , Recommended Instance Type 3 Projected CPU ,Recommended Instance Type 3 Projected Memory,Recommended Instance Type 3 Projected Disk
8.36E+11,WA Cost Labs,i-010005,name 01,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 1,PRD,IAMUser:AIDAJJB63XXXXXXXX,0.280278,0,0.280278,0,0.85,,,0,6.313333333,0,881.9850286,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-010055,name 02,c4.2xlarge,Linux/UNIX,EU (Frankfurt),TagValue 2,PRD,AssumedRole:AROA3JCGXXXXXXXX,0.155833,0,0.155833,0,24.56,,,0,7.953333333,0,702.3556999,Modify,c4.xlarge,$0.08 ,49.13,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-010089,name 03,r5.2xlarge,Windows (Amazon VPC),EU (Ireland),TagValue 3,DEV,IAMUser:AIDAJJB63XXXXXXXX,112,0,112,0,35,,,0,7.353333333,0,705.2262624,Modify,r5.xlarge,$113.39 ,70,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-010119,name 04,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 4,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.073889,0,0.073889,0,3.61,,,0,5.716666667,0,705.1547368,Modify,c4.2xlarge,$0.07 ,7.23,,,c4.xlarge,$0.11 ,14.46,,,c4.large,$0.13 ,28.92,,
8.36E+11,WA Cost Labs,i-010148,name 05,c4.4xlarge,Linux/UNIX,US East (N. Virginia),TagValue 5,PRD,IAMUser:AIDAJJB63XXXXXXXX,0.155,0,0.155,0,15.57,,,0,0.993333333,0,17.24242839,Modify,c4.2xlarge,$0.13 ,31.15,,,c4.xlarge,$0.20 ,62.29,,,,,,,
8.36E+11,WA Cost Labs,i-010154,name 06,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 6,PRD,AssumedRole:AROA3JCGXXXXXXXX,0.280278,0,0.280278,0,0.83,,,0.18,7.793333333,3.738404948,704.6127311,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-010264,name 07,m5.xlarge,Windows (Amazon VPC),US East (Ohio),TagValue 7,PRD,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,28,,,0,1.18,0,15.36051432,Modify,m5.large,$134.79 ,56,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-010320,name 08,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 8,PRD,AssumedRole:AROA3JCGXXXXXXXX,0.280278,0,0.280278,0,0.98,,,0,0.993333333,0,17.24242839,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-010409,name 09,t2.large,Windows (Amazon VPC),US East (N. Virginia),TagValue 9,PRD,IAMUser:AIDAJJB63XXXXXXXX,329,0,329,0,32.12,,,0.66,10.00333333,17.06441406,899.9554297,Modify,t2.medium,$40.31 ,32.12,,,t2.micro,$74.77 ,64.24,,,t2.small,$63.47 ,64.24,,
8.36E+11,WA Cost Labs,i-010436,name 10,t2.small,Linux/UNIX,US East (N. Virginia),TagValue 10,PRD,AssumedRole:AROA3JCGXXXXXXXX,19,0,19,0,2.62,,,0,0.993333333,0,17.24242839,Modify,t2.micro,$0.47 ,2.62,,,t2.nano,$0.71 ,2.62,,,,,,,
