Account ID,Account name,Instance ID,Finding reason(s),Instance name,Instance type,OS,Region,Total running hours,RI hours,On-Demand hours,Savings Plans hours,CPU utilization,Memory utilization,Disk utilization,EBS read (Ops/s),EBS write (Ops/s),EBS read throughput (KiB/s),EBS write throughput (KiB/s),Disk read (Ops/s),Disk write (Ops/s),Disk read throughput (KiB/s),Disk write throughput (KiB/s),Network in (KiB/s),Network out (KiB/s),Network packets in (Packets/s),Network packets out (Packets/s),Recommended action,Recommended instance type 1,Recommended instance type 1 Estimated savings,Recommended instance type 1 Projected CPU utilization,Recommended instance type 1 Projected memory utilization,Recommended instance type 1 Projected disk utilization,Recommended instance type 1 Platform difference(s),Recommended instance type 2,Recommended instance type 2 Estimated savings,Recommended instance type 2 Projected CPU utilization,Recommended instance type 2 Projected memory utilization,Recommended instance type 2 Projected disk utilization,Recommended instance type 2 Platform difference(s),Recommended instance type 3,Recommended instance type 3 Estimated savings,Recommended instance type 3 Projected CPU utilization,Recommended instance type 3 Projected memory utilization,Recommended instance type 3 Projected disk utilization,Recommended instance type 3 Platform difference(s)
XXXXXXXXXXXX,WA Cost Labs,i-010001,"CPUOverprovisioned, EBSIOPSOverprovisioned, EBSThroughputOverprovisioned, NetworkBandwidthOverprovisioned, NetworkPPSOverprovisioned",Name-010001,c4.8xlarge,Windows (Amazon VPC),EU (Ireland),336,0,336,0,17.7962963,,,11880.2,3326.186667,459513.0603,110546.8798,,,,,20.02128961,4278.168024,135.6566667,2856.351944,Modify,c4.4xlarge,1106.12155,40.04166667,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010002,"CPUOverprovisioned, EBSIOPSOverprovisioned, EBSThroughputOverprovisioned, NetworkBandwidthOverprovisioned, NetworkPPSOverprovisioned",Name-010002,c4.8xlarge,Linux/UNIX,US East (N. Virginia),336,0,336,0,0.541666667,,,0.163333333,1.26,0.826516927,46.42486328,,,,,0.001085069,0.001169162,0.002333333,0.008666667,Terminate,,1039.47985,,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010003,"CPUOverprovisioned, EBSIOPSOverprovisioned, EBSThroughputOverprovisioned, NetworkBandwidthOverprovisioned, NetworkPPSOverprovisioned",Name-010003,m5a.8xlarge,Windows (Amazon VPC),EU (Frankfurt),336,0,336,0,21.21166667,,,449.0466667,302.08,12058.62204,10118.12846,,,,,6.424814453,4.536121419,4.157055556,2.514277778,Modify,m5a.4xlarge,1024.4528,42.42333333,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010004,"CPUOverprovisioned, EBSIOPSOverprovisioned, EBSThroughputOverprovisioned, NetworkBandwidthOverprovisioned, NetworkPPSOverprovisioned",Name-010004,m5.8xlarge,Windows (Amazon VPC),US East (N. Virginia),336,0,336,0,27.8,,,491.1066667,387.3233333,13821.88797,10313.10081,,,,,11.89539035,6.203016222,8.524222222,6.894944444,Modify,m5.4xlarge,982.6384,55.6,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010005,"CPUOverprovisioned, EBSIOPSOverprovisioned, EBSThroughputOverprovisioned, NetworkBandwidthOverprovisioned, NetworkPPSOverprovisioned",Name-010005,m5.8xlarge,Windows (Amazon VPC),US East (N. Virginia),336,0,336,0,21.19666667,,,525.9866667,400.0333333,13763.05103,10221.8612,,,,,64.18706028,7.019364149,22.29516667,9.925444444,Modify,m5.4xlarge,982.6384,42.39333333,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010006,,Name-010006,m5a.8xlarge,Windows (Amazon VPC),Asia Pacific (Mumbai),336,0,336,0,21.65666667,,,456.5166667,310.54,12066.94285,9476.777713,,,,,6.398290744,5.241150174,3.701555556,1.970833333,Modify,m5a.4xlarge,771.60635,43.31333333,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010007,"CPUOverprovisioned, EBSIOPSOverprovisioned, EBSThroughputOverprovisioned, NetworkBandwidthOverprovisioned",Name-010007,c4.4xlarge,Windows (Amazon VPC),EU (Ireland),336,0,336,0,10.0625,,,3711.193333,5628.086667,49435.14983,232843.3975,,,,,4275.254676,19.37926514,2846.743,134.4516667,Modify,c4.2xlarge,535.747,20.125,,,,c4.xlarge,804.27385,40.25,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010008,"CPUOverprovisioned, EBSIOPSOverprovisioned, EBSThroughputOverprovisioned, NetworkBandwidthOverprovisioned, NetworkPPSOverprovisioned",Name-010008,c5.4xlarge,Windows (Amazon VPC),Asia Pacific (Sydney),336,0,336,0,33.59333333,,,4869.823333,1340.16,156573.0667,125721.3163,,,,,47.86736844,436.328603,87.62405556,150.0792778,Modify,c5.2xlarge,530.5202,67.18666667,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010009,"CPUOverprovisioned, EBSIOPSOverprovisioned, EBSThroughputOverprovisioned, NetworkBandwidthOverprovisioned, NetworkPPSOverprovisioned",Name-010009,c4.8xlarge,Linux/UNIX,US East (N. Virginia),336,0,336,0,28.73148148,,,4277.843333,713.5066667,96952.71809,74934.92126,,,,,1110.728337,1517.807284,2148.575722,2391.897111,Modify,c4.4xlarge,519.41325,64.64583333,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010010,"CPUOverprovisioned, NetworkBandwidthOverprovisioned",Name-010010,t3a.2xlarge,Windows with SQL Server Standard,US East (N. Virginia),336,0,336,0,30.64717745,,,2.99,81.64333333,507.1179072,4473.980268,,,,,15.31585395,0.59657959,2.168166667,0.414944444,Modify,t3a.xlarge,459.9584,61.29435491,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010011,,Name-010011,t3a.small,Linux/UNIX,South America (Sao Paulo),336,0,336,0,2.299961667,,,0.01,1.096666667,0.038146973,34.25598145,,,,,29.36782932,29.3668004,11.01727778,11.01594444,Modify,t3a.micro,9.865585,2.299961667,,,,t3a.nano,14.76571,2.299961667,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010012,,Name-010012,t2.small,Linux/UNIX,Asia Pacific (Sydney),336,0,336,0,2.711864407,,,0,0.86,0,13.10984375,,,,,0.086325684,0.083729112,0.090944444,0.095611111,Modify,t2.micro,9.53891,2.711864407,,,,t2.nano,14.308365,2.711864407,,,,,,,,,
